Counter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw	Latitude	Longitude	Altitude	Vel_X	Vel_Y	Vel_Z	
45056	0.117850	-0.302257	9.806843	-0.000155	-0.007636	-0.004040	0.328998	0.153613	0.343613	-1.190198	-1.116445	3.057898	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45057	0.119839	-0.242162	9.807175	-0.011572	-0.001071	0.003344	0.331659	0.153623	0.345025	-1.192686	-1.116479	3.061789	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45058	0.055263	-0.231996	9.815994	-0.005397	0.004963	0.027513	0.330034	0.152298	0.342227	-1.192333	-1.113464	3.079644	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45059	0.102889	-0.208372	9.795332	-0.020517	-0.004621	0.029115	0.330663	0.152141	0.346829	-1.199340	-1.114859	3.095872	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45060	0.069261	-0.212909	9.788614	-0.012109	-0.009445	0.045570	0.329462	0.152065	0.344817	-1.202363	-1.118538	3.119533	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45061	0.116226	-0.186825	9.811652	-0.016975	-0.020168	0.044079	0.331417	0.153223	0.345412	-1.207818	-1.127135	3.143060	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45062	0.202269	-0.214001	9.803110	-0.013663	-0.007595	0.044477	0.330237	0.152344	0.343578	-1.211577	-1.129939	3.166452	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45063	0.260179	-0.238591	9.747211	-0.015302	-0.009349	0.042482	0.333130	0.151472	0.346394	-1.216233	-1.133413	3.189110	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45064	0.232667	-0.320089	9.767924	-0.016663	0.001609	0.029658	0.331143	0.153121	0.342728	-1.221285	-1.131970	3.204828	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45065	0.141419	-0.285652	9.780678	-0.030609	0.005580	0.027709	0.331405	0.152665	0.345971	-1.233170	-1.128463	3.220282	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45066	0.072584	-0.265814	9.805993	-0.019719	0.017780	0.059674	0.330301	0.151552	0.343495	-1.239956	-1.118987	3.251990	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45067	0.083410	-0.232263	9.787957	-0.027555	-0.005631	0.075830	0.332433	0.149724	0.347853	-1.250855	-1.120250	3.290532	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45068	0.149729	-0.232795	9.806127	-0.030360	-0.001962	0.078140	0.330504	0.150707	0.344230	-1.262896	-1.119993	3.330633	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45069	0.218362	-0.238177	9.805127	-0.032106	-0.007247	0.061763	0.334115	0.151671	0.346381	-1.275847	-1.122158	3.362477	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45070	0.183346	-0.204250	9.781257	-0.038761	0.003849	0.048180	0.330671	0.149643	0.344175	-1.291619	-1.119429	3.388696	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45071	0.126687	-0.194177	9.766761	-0.023789	-0.005591	0.053855	0.333342	0.151610	0.346016	-1.300507	-1.120853	3.416747	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45072	0.180933	-0.187416	9.766377	-0.043290	-0.015022	0.047673	0.330686	0.149774	0.344170	-1.318442	-1.127126	3.441223	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45073	0.242170	-0.214361	9.779001	-0.030398	-0.005405	0.049389	0.332951	0.150197	0.345774	-1.330428	-1.128515	3.467141	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45074	0.221472	-0.218989	9.786090	-0.041760	-0.019584	0.047928	0.331210	0.150286	0.343815	-1.347640	-1.136950	3.491586	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45075	0.199739	-0.221238	9.763863	-0.049037	-0.001369	0.055815	0.334042	0.148971	0.347574	-1.368581	-1.136340	3.520527	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45076	0.130760	-0.254332	9.757471	-0.046659	-0.001481	0.065127	0.332147	0.149791	0.344495	-1.388292	-1.135919	3.554403	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45077	0.085448	-0.265991	9.744391	-0.059873	-0.008400	0.066962	0.333108	0.151301	0.344675	-1.414529	-1.138458	3.588747	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45078	0.105442	-0.206011	9.776202	-0.053776	-0.018524	0.071440	0.331471	0.150392	0.343976	-1.437706	-1.146068	3.623130	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45079	0.124426	-0.232599	9.793178	-0.062980	-0.028313	0.082851	0.334299	0.148530	0.345641	-1.465572	-1.157838	3.665301	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45080	0.224687	-0.252716	9.752403	-0.065963	-0.029933	0.063594	0.331886	0.148794	0.343717	-1.494508	-1.170956	3.699557	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45081	0.225360	-0.195004	9.762294	-0.078801	-0.038649	0.061885	0.333939	0.149079	0.345698	-1.529723	-1.187903	3.731863	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45082	0.195764	-0.139438	9.778057	-0.065887	-0.035343	0.060903	0.333005	0.148175	0.344030	-1.558617	-1.203602	3.764099	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45083	0.207050	-0.127519	9.769780	-0.063718	-0.033492	0.044997	0.334860	0.147644	0.346691	-1.586383	-1.218278	3.788291	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45084	0.291060	-0.161897	9.756106	-0.081891	-0.036747	0.058760	0.333929	0.148657	0.343729	-1.622914	-1.234641	3.818037	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45085	0.342654	-0.162328	9.755376	-0.073242	-0.044109	0.044703	0.334766	0.146391	0.345550	-1.655164	-1.254440	3.842252	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45086	0.347542	-0.196019	9.765683	-0.063867	-0.036204	0.045042	0.332874	0.146868	0.343948	-1.682964	-1.270700	3.867235	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45087	0.332298	-0.224706	9.800189	-0.060173	-0.031742	0.039229	0.334966	0.146863	0.346348	-1.708874	-1.284741	3.888684	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45088	0.308728	-0.224496	9.811783	-0.039900	-0.041195	0.024953	0.333141	0.146848	0.343985	-1.725029	-1.303650	3.902952	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45089	0.340758	-0.176662	9.823219	-0.032485	-0.030544	0.027689	0.335039	0.146328	0.346385	-1.737541	-1.317346	3.918884	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45090	0.406191	-0.179627	9.809653	-0.032272	-0.012294	-0.001158	0.333562	0.146824	0.343909	-1.749765	-1.322835	3.920733	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45091	0.431078	-0.211083	9.817644	-0.029816	-0.012326	-0.006205	0.335730	0.146667	0.346591	-1.760557	-1.328461	3.920227	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
